"iso3c","year","Top10share","Top1share"
"BHR",1994,0.53380001,0.18520001
"BHR",1995,0.53380001,0.18520001
"BHR",1996,0.53380001,0.18529999
"BHR",1997,0.53380001,0.18529999
"BHR",1998,0.53390002,0.18529999
"BHR",1999,0.53390002,0.18529999
"BHR",2000,0.50590003,0.1724
"BHR",2001,0.50599998,0.1724
"BHR",2002,0.5079,0.1728
"BHR",2003,0.50980002,0.1732
"BHR",2004,0.51169997,0.1737
"BHR",2005,0.51370001,0.1742
"BHR",2006,0.51569998,0.17479999
"BHR",2007,0.51779997,0.1753
"BHR",2008,0.51999998,0.1759
"BHR",2009,0.52219999,0.17659999
"BHR",2010,0.52960002,0.1812
"BHR",2011,0.52880001,0.18089999
"BHR",2012,0.52789998,0.1806
"BHR",2013,0.52710003,0.1803
"BHR",2014,0.52630001,0.18000001
"BHR",2015,0.52630001,0.18000001
"BHR",2016,0.52630001,0.18000001
"BHR",2017,NA,NA
"BIH",1960,NA,NA
"BIH",1961,NA,NA
"BIH",1962,NA,NA
"BIH",1963,NA,NA
"BIH",1964,NA,NA
"BIH",1965,NA,NA
"BIH",1966,NA,NA
"BIH",1967,NA,NA
"BIH",1968,NA,NA
"BIH",1969,NA,NA
"BIH",1970,NA,NA
"BIH",1971,NA,NA
"BIH",1972,NA,NA
"BIH",1973,NA,NA
"BIH",1974,NA,NA
"BIH",1975,NA,NA
"BIH",1976,NA,NA
"BIH",1977,NA,NA
"BIH",1978,NA,NA
"BIH",1979,NA,NA
"BIH",1980,NA,NA
"BIH",1981,NA,NA
"BIH",1982,NA,NA
"BIH",1983,0.2326,0.047800001
"BIH",1984,0.23980001,0.050700001
"BIH",1985,0.2351,0.0484
"BIH",1986,0.2344,0.046599999
"BIH",1987,0.2403,0.049899999
"BIH",1988,0.2332,0.046300001
"BIH",1989,0.2306,0.045499999
"BIH",1990,0.2289,0.0449
"BIH",1991,NA,NA
"BIH",1992,NA,NA
"BIH",1993,NA,NA
"BIH",1994,NA,NA
"BIH",1995,NA,NA
"BIH",1996,NA,NA
"BIH",1997,NA,NA
"BIH",1998,NA,NA
"BIH",1999,NA,NA
"BIH",2000,NA,NA
"BIH",2001,0.28310001,0.0713
"BIH",2002,0.29069999,0.071599998
"BIH",2003,0.2994,0.070600003
"BIH",2004,0.30680001,0.069700003
"BIH",2005,0.3037,0.0713
"BIH",2006,0.28670001,0.064199999
"BIH",2007,0.28709999,0.064000003
"BIH",2008,0.28659999,0.063199997
"BIH",2009,0.28529999,0.061700001
"BIH",2010,0.28510001,0.060600001
